brand,category,name,img,price,event
7-eleven,김밥,모듬김밥세트,http://www.7-eleven.co.kr/upload/product/8809045/718091.1.jpg,3500,
CU,김밥,고기고기더블삼각,http://cdn2.bgfretail.com/bgfbrand/files/product/EF63C1F6110E487EAE39441CC3FB1C4D.jpg,1700,아침애행사
CU,김밥,고기고기반반김밥,http://cdn2.bgfretail.com/bgfbrand/files/product/6FC66FAD36C5445F9E577D2B6FC14B96.jpg,2000,아침애행사
CU,김밥,고기산적강황컵밥,http://cdn2.bgfretail.com/bgfbrand/files/product/45181B43ADF04F2C9A2CCC94145D22F2.jpg,2000,아침애행사
CU,김밥,깻잎제육볶음,http://cdn2.bgfretail.com/bgfbrand/files/product/4870EF4E6D014EE99892EB7C1920B84D.jpg,900,아침애행사
CU,김밥,남도떡갈비빅밥바,http://cdn2.bgfretail.com/bgfbrand/files/product/630CD7F515F5453A980A9CBB51D1BE3C.jpg,1800,아침애행사
CU,김밥,뉴참치마요네즈,http://cdn2.bgfretail.com/bgfbrand/files/product/33559FC31ECD4F8A958912BA1C7DC0D0.jpg,800,아침애행사
CU,김밥,든든하지롱숯불김밥,http://cdn2.bgfretail.com/bgfbrand/files/product/C585FAFA54F343FBA9FAEBDFB800CDC0.jpg,2300,아침애행사
CU,김밥,든든하지롱오징어튀김,http://cdn2.bgfretail.com/bgfbrand/files/product/3825F2807417439CB9317198DDA4DA85.jpg,2500,아침애행사
CU,김밥,듬뿍참치마요,http://cdn2.bgfretail.com/bgfbrand/files/product/A67144135D614545B52146E4CD9CCA80.jpg,1500,아침애행사
CU,김밥,듬뿍햄참치마요,http://cdn2.bgfretail.com/bgfbrand/files/product/4D489A2D3C664DEC8F1B182D5109EBF1.jpg,900,아침애행사
CU,김밥,떡갈비전주비빔밥,http://cdn2.bgfretail.com/bgfbrand/files/product/E9A047EE580F4E54A139742141F71362.jpg,1000,
CU,김밥,마요마요반반김밥,http://cdn2.bgfretail.com/bgfbrand/files/product/297B3613E9464D59911D73D784BF716C.jpg,2000,아침애행사
